"id","reference","definition"
"1155","Eliab","<p>To whom God is father. (1.) A Reubenite, son of Pallu (Num. 16:1, 12; 26:8, 9; Deut. 11:6).</p><p>(2.) A son of Helon, and chief of the tribe of Zebulun at the time of the census in the wilderness (Num. 1:9; 2:7).</p><p>(3.) The son of Jesse, and brother of David (1 Sam. 16:6). It was he who spoke contemptuously to David when he proposed to fight Goliath (1 Sam. 17:28).</p><p>(4.) One of the Gadite heroes who joined David in his stronghold in the wilderness (1 Chr. 12:9).</p>"
"1156","Eliada","<p>Whom God cares for. (1.) One of David&#39;s sons born after his establishment in Jerusalem (2 Sam. 5:16).</p><p>(2.) A mighty man of war, a Benjamite (2 Chr. 17:17).</p><p>(3.) An Aramite of Zobah, captain of a marauding band that troubled Solomon (1 Kings 11:23).</p>"
"1157","Eliakim","<p>Whom God will raise up. (1.) The son of Melea (Luke 3:30), and probably grandson of Nathan.</p><p>(2.) The son of Abiud, of the posterity of Zerubbabel (Matt. 1:13).</p><p>(3.) The son of Hilkiah, who was sent to receive the message of the invading Assyrians and report it to Isaiah (2 Kings 18:18; 19:2; Isa. 36:3; 37:2). In his office as governor of the palace of Hezekiah he succeeded Shebna (Isa. 22:15-25). He was a good man (Isa. 22:20; 2 Kings 18:37), and had a splendid and honourable career.</p><p>(4.) The original name of Jehoiakim, king of Judah (2 Kings 23:34). He was the son of Josiah.</p>"
"1158","Eliam","<p>God&#39;s people. (1.) The father of Bathsheba, the wife of Uriah (2 Sam. 11:3). In 1 Chr. 3:5 his name is Ammiel.</p><p>(2.) This name also occurs as that of a Gilonite, the son of Ahithophel, and one of David&#39;s thirty warriors (2 Sam. 23:34). perhaps these two were the same person.</p>"
"1159","Elias","<p>The Greek form of Elijah (Matt. 11:14; 16:14, etc.), which the Revised Version has uniformly adopted in the New Testament. (See [177]ELIJAH.)</p>"
"1160","Eliashib","<p>Whom God will restore. (1.) A priest, head of one of the courses of the priests of the time of David (1 Chr. 24:12).</p><p>(2.) A high priest in the time of Ezra and Nehemiah (Neh. 12:22, 23). He rebuilt the eastern city wall (3:1), his own mansion being in that quarter, on the ridge Ophel (3:20, 21). His indulgence of Tobiah the Ammonite provoked the indignation of Nehemiah (13:4, 7).</p>"
"1161","Eliathah","<p>To whom God will come, one of the foureen sons of the Levite Heman, and musician of the temple in the time of David (1 Chr. 25:4).</p>"
"1162","Elidad","<p>Whom God has loved, son of Chislon, and chief of the tribe of Benjamin; one of those who were appointed to divide the Promised Land among the tribes (Num. 34:21).</p>"
"1163","Eliel","<p>To whom God is might. (1.) A chief of Manasseh, on the east of Jordan (1 Chr. 5:24).</p><p>(2.) A Gadite who joined David in the hold at Ziklag (1 Chr. 12:11).</p><p>(3.) One of the overseers of the offerings in the reign of Hezekiah (2 Chr. 31:13).</p>"
"1164","Eliezer","<p>God his help. (1.) &quot;Of Damascus,&quot; the &quot;steward&quot; (R.V., &quot;possessor&quot;) of Abraham&#39;s house (Gen. 15:2, 3). It was probably he who headed the embassy sent by Abraham to the old home of his family in Padan-aram to seek a wife for his son Isaac. The account of this embassy is given at length in Gen. 24.</p><p>(2.) The son of Becher, and grandson of Benjamin (1 Chr. 7:8).</p><p>(3.) One of the two sons of Moses, born during his sojourn in Midian (Ex. 18:4; 1 Chr. 23:15, 17). He remained with his mother and brother Gershom with Jethro when Moses returned to Egypt. (Ex. 18:4). They were restored to Moses when Jethro heard of his departure out of Egypt.</p><p>(4.) One of the priests who blew the trumpet before the ark when it was brought to Jerusalem (1 Chr. 15:24).</p><p>(5.) Son of Zichri, and chief of the Reubenites under David (1 Chr. 27:16).</p><p>(6.) A prophet in the time of Jehoshaphat (2 Chr. 20:37). Others of this name are mentioned Luke 3:29; Ezra 8:16; 10:18, 23, 31.</p>"
"1165","Elihu","<p>Whose God is he. (1.) &quot;The son of Barachel, a Buzite&quot; (Job 32:2), one of Job&#39;s friends. When the debate between Job and his friends is brought to a close, Elihu for the first time makes his appearance, and delivers his opinion on the points at issue (Job 32-37).</p><p>(2.) The son of Tohu, and grandfather of Elkanah (1 Sam. 1:1). He is called also Eliel (1 Chr. 6:34) and Eliab (6:27).</p><p>(3.) One of the captains of thousands of Manasseh who joined David at Ziklag (1 Chr. 12:20).</p><p>(4.) One of the family of Obed-edom, who were appointed porters of the temple under David (1 Chr. 26:7).</p>"
"1166","Elijah","<p>Whose God is Jehovah. (1.) &quot;The Tishbite,&quot; the &quot;Elias&quot; of the New Testament, is suddenly introduced to our notice in 1 Kings 17:1 as delivering a message from the Lord to Ahab. There is mention made of a town called Thisbe, south of Kadesh, but it is impossible to say whether this was the place referred to in the name given to the prophet.</p><p>Having delivered his message to Ahab, he retired at the command of God to a hiding-place by the brook Cherith, beyond Jordan, where he was fed by ravens. When the brook dried up God sent him to the widow of Zarephath, a city of Zidon, from whose scanty store he was supported for the space of two years. During this period the widow&#39;s son died, and was restored to life by Elijah (1 Kings 17: 2-24).</p><p>During all these two years a famine prevailed in the land. At the close of this period of retirement and of preparation for his work (comp. Gal. 1:17, 18) Elijah met Obadiah, one of Ahab&#39;s officers, whom he had sent out to seek for pasturage for the cattle, and bade him go and tell his master that Elijah was there. The king came and met Elijah, and reproached him as the troubler of Israel. It was then proposed that sacrifices should be publicly offered, for the purpose of determining whether Baal or Jehovah were the true God. This was done on Carmel, with the result that the people fell on their faces, crying, &quot;The Lord, he is the God.&quot; Thus was accomplished the great work of Elijah&#39;s ministry. The prophets of Baal were then put to death by the order of Elijah. Not one of them escaped. Then immediately followed rain, according to the word of Elijah, and in answer to his prayer (James 5:18).</p><p>Jezebel, enraged at the fate that had befallen her priests of Baal, threatened to put Elijah to death (1 Kings 19:1-13). He therefore fled in alarm to Beersheba, and thence went alone a day&#39;s journey into the wilderness, and sat down in despondency under a juniper tree. As he slept an angel touched him, and said unto him, &quot;Arise and eat; because the journey is too great for thee.&quot; He arose and found a cake and a cruse of water. Having partaken of the provision thus miraculously supplied, he went forward on his solitary way for forty days and forty nights to Horeb, the mount of God, where he took up his abode in a cave. Here the Lord appeared unto him and said, &quot;What dost thou here, Elijah?&quot; In answer to his despondent words God manifests to him his glory, and then directs him to return to Damascus and anoint Hazael king over Syria, and Jehu king over Israel, and Elisha to be prophet in his room (1 Kings 19:13-21; comp. 2 Kings 8:7-15; 9:1-10).</p><p>Some six years after this he warned Ahab and Jezebel of the violent deaths they would die (1 Kings 21:19-24; 22:38). He also, four years afterwards, warned Ahaziah (q.v.), who had succeeded his father Ahab, of his approaching death (2 Kings 1:1-16). (See [178]NABOTH.) During these intervals he probably withdrew to some quiet retirement, no one knew where. His interview with Ahaziah&#39;s messengers on the way to Ekron, and the account of the destruction of his captains with their fifties, suggest the idea that he may have been in retirement at this time on Mount Carmel.</p><p>The time now drew near when he was to be taken up into heaven (2 Kings 2:1-12). He had a presentiment of what was awaiting him. He went down to Gilgal, where was a school of the prophets, and where his successor Elisha, whom he had anointed some years before, resided. Elisha was solemnized by the thought of his master&#39;s leaving him, and refused to be parted from him. &quot;They two went on,&quot; and came to Bethel and Jericho, and crossed the Jordan, the waters of which were &quot;divided hither and thither&quot; when smitten with Elijah&#39;s mantle. Arrived at the borders of Gilead, which Elijah had left many years before, it &quot;came to pass as they still went on and talked&quot; they were suddenly separated by a chariot and horses of fire; and &quot;Elijah went up by a whirlwind into heaven, &quot;Elisha receiving his mantle, which fell from him as he ascended.</p><p>No one of the old prophets is so frequently referred to in the New Testament. The priests and Levites said to the Baptist (John 1:25), &quot;Why baptizest thou, if thou be not that Christ, nor Elias?&quot; Paul (Rom. 11:2) refers to an incident in his history to illustrate his argument that God had not cast away his people. James (5:17) finds in him an illustration of the power of prayer. (See also Luke 4:25; 9:54.) He was a type of John the Baptist in the sternness and power of his reproofs (Luke 9:8). He was the Elijah that &quot;must first come&quot; (Matt. 11:11, 14), the forerunner of our Lord announced by Malachi. Even outwardly the Baptist corresponded so closely to the earlier prophet that he might be styled a second Elijah. In him we see &quot;the same connection with a wild and wilderness country; the same long retirement in the desert; the same sudden, startling entrance on his work (1 Kings 17:1; Luke 3:2); even the same dress, a hairy garment, and a leathern girdle about the loins (2 Kings 1:8; Matt. 3:4).&quot;</p><p>How deep the impression was which Elijah made &quot;on the mind of the nation may be judged from the fixed belief, which rested on the words of Malachi (4:5, 6), which many centuries after prevailed that he would again appear for the relief and restoration of the country. Each remarkable person as he arrives on the scene, be his habits and characteristics what they may, the stern John equally with his gentle Successor, is proclaimed to be Elijah (Matt. 11:13, 14; 16:14; 17:10; Mark 9:11; 15:35; Luke 9:7, 8; John 1:21). His appearance in glory on the mount of transfiguration does not seem to have startled the disciples. They were sore afraid,&#39; but not apparently surprised.&quot;</p><p>(2.) The Elijah spoken of in 2 Chr. 21:12-15 is by some supposed to be a different person from the foregoing. He lived in the time of Jehoram, to whom he sent a letter of warning (comp. 1 Chr. 28:19; Jer. 36), and acted as a prophet in Judah; while the Tishbite was a prophet of the northern kingdom. But there does not seem any necessity for concluding that the writer of this letter was some other Elijah than the Tishbite. It may be supposed either that Elijah anticipated the character of Jehoram, and so wrote the warning message, which was preserved in the schools of the prophets till Jehoram ascended the throne after the Tishbite&#39;s translation, or that the translation did not actually take place till after the accession of Jehoram to the throne (2 Chr. 21:12; 2 Kings 8:16). The events of 2 Kings 2 may not be recorded in chronological order, and thus there may be room for the opinion that Elijah was still alive in the beginning of Jehoram&#39;s reign.</p>"
"1167","Elika","<p>God is his rejector, one of David&#39;s thirty-seven distinguished heros (2 Sam. 23:25).</p>"
"1168","Elim","<p>Trees, (Ex. 15:27; Num. 33:9), the name of the second station where the Israelites encamped after crossing the Red Sea. It had &quot;twelve wells of water and threescore and ten palm trees.&quot; It has been identified with the Wady Ghurundel, the most noted of the four wadies which descend from the range of et-Tih towards the sea. Here they probably remained some considerable time. The form of expression in Ex. 16:1 seems to imply that the people proceeded in detachments or companies from Elim, and only for the first time were assembled as a complete host when they reached the wilderness of Sin (q.v.).</p>"
"1169","Elimelech","<p>God his king, a man of the tribe of Judah, of the family of the Hezronites, and kinsman of Boaz, who dwelt in Bethlehem in the days of the judges. In consequence of a great dearth he, with his wife Naomi and his two sons, went to dwell in the land of Moab. There he and his sons died (Ruth 1:2, 3; 2:1, 3; 4:3, 9). Naomi afterwards returned to Palestine with her daughter Ruth.</p>"
"1170","Elioenai","<p>Toward Jehovah are my eyes, the name of several men mentioned in the Old Testament (1 Chr. 7:8; 4:36; Ezra 10:22, 27). Among these was the eldest son of Neariah, son of Shemaiah, of the descendants of Zerubbabel. His family are the latest mentioned in the Old Testament (1 Chr. 3:23, 24).</p>"
"1171","Eliphalet","<p>God his deliverance, one of David&#39;s sons (2 Sam. 5:16); called also Eliphelet (1 Chr. 3:8).</p>"
"1172","Eliphaz","<p>God his strength. (1.) One of Job&#39;s &quot;three friends&quot; who visited him in his affliction (4:1). He was a &quot;Temanite&quot;, i.e., a native of Teman, in Idumea. He first enters into debate with Job. His language is uniformly more delicate and gentle than that of the other two, although he imputes to Job special sins as the cause of his present sufferings. He states with remarkable force of language the infinite purity and majesty of God (4:12-21; 15:12-16).</p><p>(2.) The son of Esau by his wife Adah, and father of several Edomitish tribes (Gen. 36:4, 10, 11, 16).</p>"
"1173","Elipheleh","<p>God will distinguish him, one of the porters appointed to play &quot;on the Sheminith&quot; on the occasion of the bringing up of the ark to the city of David (1 Chr. 15:18, 21).</p>"
"1174","Eliphelet","<p>God his deliverance. (1.) One of David&#39;s distinguished warriors (2 Sam. 23:34); called also Eliphal in 1 Chr. 11:35.</p><p>(2.) One of the sons of David born at Jerusalem (1 Chr. 3:6; 14:5); called Elpalet in 1 Chr. 14:5. Also another of David&#39;s sons (1 Chr. 3:8); called Eliphalet in 2 Sam. 5:16; 1 Chr. 14:7.</p><p>(3.) A descendant of king Saul through Jonathan (1 Chr. 8:39).</p>"
"1175","Elisabeth","<p>God her oath, the mother of John the Baptist (Luke 1:5). She was a descendant of Aaron. She and her husband Zacharias (q.v.) &quot;were both righteous before God&quot; (Luke 1:5, 13). Mary&#39;s visit to Elisabeth is described in 1:39-63.</p>"
"1176","Elisha","<p>God his salvation, the son of Shaphat of Abel-meholah, who became the attendant and disciple of Elijah (1 Kings 19:16-19). His name first occurs in the command given to Elijah to anoint him as his successor (1 Kings 19:16). This was the only one of the three commands then given to Elijah which he accomplished. On his way from Sinai to Damascus he found Elisha at his native place engaged in the labours of the field, ploughing with twelve yoke of oxen. He went over to him, threw over his shoulders his rough mantle, and at once adopted him as a son, and invested him with the prophetical office (comp. Luke 9:61, 62). Elisha accepted the call thus given (about four years before the death of Ahab), and for some seven or eight years became the close attendant on Elijah till he was parted from him and taken up into heaven. During all these years we hear nothing of Elisha except in connection with the closing scenes of Elijah&#39;s life. After Elijah, Elisha was accepted as the leader of the sons of the prophets, and became noted in Israel. He possessed, according to his own request, &quot;a double portion&quot; of Elijah&#39;s spirit (2 Kings 2:9); and for the long period of about sixty years (B.C. 892-832) held the office of &quot;prophet in Israel&quot; (2 Kings 5:8).</p><p>After Elijah&#39;s departure, Elisha returned to Jericho, and there healed the spring of water by casting salt into it (2 Kings 2:21). We next find him at Bethel (2:23), where, with the sternness of his master, he cursed the youths who came out and scoffed at him as a prophet of God: &quot;Go up, thou bald head.&quot; The judgment at once took effect, and God terribly visited the dishonour done to his prophet as dishonour done to himself. We next read of his predicting a fall of rain when the army of Jehoram was faint from thirst (2 Kings 3:9-20); of the multiplying of the poor widow&#39;s cruse of oil (4:1-7); the miracle of restoring to life the son of the woman of Shunem (4:18-37); the multiplication of the twenty loaves of new barley into a sufficient supply for an hundred men (4:42-44); of the cure of Naaman the Syrian of his leprosy (5:1-27); of the punishment of Gehazi for his falsehood and his covetousness; of the recovery of the axe lost in the waters of the Jordan (6:1-7); of the miracle at Dothan, half-way on the road between Samaria and Jezreel; of the siege of Samaria by the king of Syria, and of the terrible sufferings of the people in connection with it, and Elisha&#39;s prophecy as to the relief that would come (2 Kings 6:24-7:2).</p><p>We then find Elisha at Damascus, to carry out the command given to his master to anoint Hazael king over Syria (2 Kings 8:7-15); thereafter he directs one of the sons of the prophets to anoint Jehu, the son of Jehoshaphat, king of Israel, instead of Ahab. Thus the three commands given to Elijah (9:1-10) were at length carried out.</p><p>We do not again read of him till we find him on his death-bed in his own house (2 Kings 13:14-19). Joash, the grandson of Jehu, comes to mourn over his approaching departure, and utters the same words as those of Elisha when Elijah was taken away: &quot;My father, my father! the chariot of Israel, and the horsemen thereof.&quot;</p><p>Afterwards when a dead body is laid in Elisha&#39;s grave a year after his burial, no sooner does it touch the hallowed remains than the man &quot;revived, and stood up on his feet&quot; (2 Kings 13:20-21).</p>"
"1177","Elishah","<p>The oldest of the four sons of Javan (Gen. 10:4), whose descendants peopled Greece. It has been supposed that Elishah&#39;s descendants peopled the Peloponnesus, which was known by the name of Elis. This may be meant by &quot;the isles of Elishah&quot; (Ezek. 27:7).</p>"
"1178","Elishama","<p>Whom God hears. (1.) A prince of Benjamin, grandfather of Joshua (Num. 1:10; 1 Chr. 7:26). (2.) One of David&#39;s sons (2 Sam. 5:16). (3.) Another of David&#39;s sons (1 Chr. 3:6). (4.) A priest sent by Jehoshaphat to teach the people the law (2 Chr. 17:8).</p>"
"1179","Elishaphat","<p>Whom God has judged, one of the &quot;captains of hundreds&quot; associated with Jehoiada in the league to overthrow the usurpation of Athaliah (2 Chr. 23:1).</p>"
"1180","Elisheba","<p>God is her oath, the daughter of Amminadab and the wife of Aaron (Ex. 6:23).</p>"
"1181","Elishua","<p>God his salvation, a son of David, 2 Sam. 5:15 = Elishama, 1 Chr. 3:6.</p>"
"1182","Elkanah","<p>God-created. (1.) The second son of Korah (Ex. 6:24), or, according to 1 Chr. 6:22, 23, more correctly his grandson.</p><p>(2.) Another Levite of the line of Heman the singer, although he does not seem to have performed any of the usual Levitical offices. He was father of Samuel the prophet (1 Chr. 6:27, 34). He was &quot;an Ephrathite&quot; (1 Sam. 1:1, 4, 8), but lived at Ramah, a man of wealth and high position. He had two wives, Hannah, who was the mother of Samuel, and Peninnah.</p>"
"1183","Elkosh","<p>God my bow, the birth-place of Nahum the prophet (Nah. 1:1). It was probably situated in Galilee, but nothing definite is known of it.</p>"
"1184","Ellasar","<p>The oak or heap of Assyria, a territory in Asia of which Arioch was king (Gen. 14:1, 9). It is supposed that the old Chaldean town of Larsa was the metropolis of this kingdom, situated nearly half-way between Ur (now Mugheir) and Erech, on the left bank of the Euphrates. This town is represented by the mounds of Senkereh, a little to the east of Erech.</p>"
"1185","Elm","<p>Hos. 4:13; rendered &quot;terebinth&quot; in the Revised Version. It is the Pistacia terebinthus of Linn., a tree common in Palestine, long-lived, and therefore often employed for landmarks and in designating places (Gen. 35:4; Judg. 6:11, 19. Rendered &quot;oak&quot; in both A.V. and R.V.). (See TEIL [179]TREE.)</p>"
"1186","Elnathan","<p>Whom God has given. (1.) An inhabitant of Jerusalem, the father of Nehushta, who was the mother of king Jehoiachin (2 Kings 24:8). Probably the same who tried to prevent Jehoiakim from burning the roll of Jeremiah&#39;s prophecies (Jer. 26:22; 36:12). (2.) Ezra 8:16.</p>"
"1187","Elon","<p>Oak. (1.) A city of Dan (Josh. 19:43). (2.) A Hittite, father of Bashemath, Esau&#39;s wife (Gen. 26:34). (3.) One of the sons of Zebulun (Gen. 46:14). (4.) The eleventh of the Hebrew judges. He held office for ten years (Judg. 12:11, 12). He is called the Zebulonite.</p>"
"1188","Elparan","<p>Oak of Paran, a place on the edge of the wilderness bordering the territory of the Horites (Gen. 14:6). This was the farthest point to which Chedorlaomer&#39;s expedition extended. It is identified with the modern desert of et-Tih. (See [180]PARAN.)</p>"
"1189","Eltekeh","<p>God is its fear, a city in the tribe of Dan. It was a city of refuge and a Levitical city (Josh. 21:23). It has been identified with Beit-Likia, north-east of latrum.</p>"
"1190","Elul","<p>(Neh. 6:15), the name of the sixth month of the ecclesiastical year, and the twelfth of the civil year. It began with the new moon of our August and September, and consisted of twenty-nine days.</p>"
"1191","Elymas","<p>Magician or sorcerer, the Arabic name of the Jew Bar-jesus, who withstood Paul and Barnabas in Cyprus. He was miraculously struck with blindness (Acts 13:11).</p>"
"1192","Embalming","<p>The process of preserving a body by means of aromatics (Gen. 50:2, 3, 26). This art was practised by the Egyptians from the earliest times, and there brought to great perfection. This custom probably originated in the belief in the future reunion of the soul with the body. The process became more and more complicated, and to such perfection was it carried that bodies embalmed thousands of years ago are preserved to the present day in the numberless mummies that have been discovered in Egypt.</p><p>The embalming of Jacob and Joseph was according to the Egyptian custom, which was partially followed by the Jews (2 Chr. 16:14), as in the case of king Asa, and of our Lord (John 19:39, 40; Luke 23:56; 24:1). (See [181]PHARAOH.)</p>"
"1193","Embroider","<p>The art of embroidery was known to the Jews (Ex. 26:36; 35:35; 38:23; Judg. 5:30; Ps. 45:14). The skill of the women in this art was seen in the preparation of the sacerdotal robes of the high priest (Ex. 28). It seems that the art became hereditary in certain families (1 Chr. 4:21). The Assyrians were also noted for their embroidered robes (Ezek. 27:24).</p>"
"1194","Emerald","<p>Heb. nophek (Ex. 28:18; 39:11); i.e., the &quot;glowing stone&quot;, probably the carbuncle, a precious stone in the breastplate of the high priest. It is mentioned (Rev. 21:19) as one of the foundations of the New Jerusalem. The name given to this stone in the New Testament Greek is smaragdos, which means &quot;live coal.&quot;</p>"
"1195","Emerod","<p>See [182]HAEMORRHOIDS.</p>"
"1196","Emims","<p>Terrors, a warlike tribe of giants who were defeated by Chedorlaomer and his allies in the plain of Kiriathaim. In the time of Abraham they occupied the country east of Jordan, afterwards the land of the Moabites (Gen. 14:5; Deut. 2:10). They were, like the Anakim, reckoned among the Rephaim, and were conquered by the Moabites, who gave them the name of Emims, i.e., &quot;terrible men&quot; (Deut. 2:11). The Ammonites called them Zamzummims (2:20).</p>"
"1197","Emmanuel","<p>God with us, Matt. 1:23). (See [183]IMMANUEL.)</p>"
"1198","Emmaus","<p>Hot baths, a village &quot;three-score furlongs&quot; from jerusalem, where our Lord had an interview with two of his disciples on the day of his resurrection (Luke 24:13). This has been identified with the modern el-Kubeibeh, lying over 7 miles north-west of Jerusalem. This name, el-Kubeibeh, meaning &quot;little dome,&quot; is derived from the remains of the Crusaders&#39; church yet to be found there. Others have identified it with the modern Khurbet Khamasa i.e., &quot;the ruins of Khamasa&quot;, about 8 miles south-west of Jerusalem, where there are ruins also of a Crusaders&#39; church. Its site, however has been much disputed.</p>"
"1199","Emmor","<p>An ass, Acts 7:16. (See [184]HAMOR.)</p>"
"1200","Encamp","<p>An encampment was the resting-place for a longer or shorter period of an army or company of travellers (Ex. 13:20; 14:19; Josh. 10:5; 11:5).</p><p>The manner in which the Israelites encamped during their march through the wilderness is described in Num. 2 and 3. The order of the encampment (see [185]CAMP) was preserved in the march (Num. 2:17), the signal for which was the blast of two silver trumpets. Detailed regulations affecting the camp for sanitary purposes are given (Lev. 4:11, 12; 6:11; 8:17; 10:4, 5; 13:46; 14:3; Num. 12:14, 15; 31:19; Deut. 23:10, 12).</p><p>Criminals were executed without the camp (Lev. 4:12; comp. John 19:17, 20), and there also the young bullock for a sin-offering was burnt (Lev. 24:14; comp. Heb. 13:12).</p><p>In the subsequent history of Israel frequent mention is made of their encampments in the time of war (Judg. 7:18; 1 Sam. 13:2, 3, 16, 23; 17:3; 29:1; 30:9, 24). The temple was sometimes called &quot;the camp of the Lord&quot; (2 Chr. 31:2, R.V.; comp. Ps. 78:28). The multitudes who flocked to David are styled &quot;a great host (i.e., &quot;camp;&quot; Heb. mahaneh), like the host of God&quot; (1 Chr. 12:22).</p>"
"1201","Enchantments","<p>(1.) The rendering of Hebrew latim_ or _lehatim, which means &quot;something covered,&quot; &quot;muffled up;&quot; secret arts, tricks (Ex. 7:11, 22; 8:7, 18), by which the Egyptian magicians imposed on the credulity of Pharaoh.</p><p>(2.) The rendering of the Hebrew keshaphim, &quot;muttered spells&quot; or &quot;incantations,&quot; rendered &quot;sorceries&quot; in Isa. 47:9, 12, i.e., the using of certain formulae under the belief that men could thus be bound.</p><p>(3.) Hebrew lehashim, &quot;charming,&quot; as of serpents (Jer. 8:17; comp. Ps. 58:5).</p><p>(4.) Hebrew nehashim, the enchantments or omens used by Balaam (Num. 24:1); his endeavouring to gain omens favourable to his design.</p><p>(5.) Hebrew heber (Isa. 47:9, 12), &quot;magical spells.&quot; All kinds of enchantments were condemned by the Mosaic law (Lev. 19:26; Deut. 18:10-12). (See [186]DIVINATION.)</p>"
"1202","End","<p>In Heb. 13:7, is the rendering of the unusual Greek word ekbasin, meaning &quot;outcome&quot;, i.e., death. It occurs only elsewhere in 1 Cor. 10:13, where it is rendered &quot;escape.&quot;</p>"
"1203","Endor","<p>Fountain of Dor; i.e., &quot;of the age&quot;, a place in the territory of Issachar (Josh. 17:11) near the scene of the great victory which was gained by Deborah and Barak over Sisera and Jabin (comp. Ps. 83:9, 10). To Endor, Saul resorted to consult one reputed to be a witch on the eve of his last engagement with the Philistines (1 Sam. 28:7). It is identified with the modern village of Endur, &quot;a dirty hamlet of some twenty houses, or rather huts, most of them falling to ruin,&quot; on the northern slope of Little Hermon, about 7 miles from Jezreel.</p>"
"1204","Eneglaim","<p>Fountain of two calves, a place mentioned only in Ezek. 47:10. Somewhere near the Dead Sea.</p>"
"1205","Engannim","<p>Fountain of gardens. (1.) A town in the plains of Judah (Josh. 15:34), north-west of Jerusalem, between Zanoah and Tappuah. It is the modern Umm Jina.</p><p>(2.) A city on the border of Machar (Josh. 19:21), allotted to the Gershonite Levites (21:29). It is identified with the modern Jenin, a large and prosperous town of about 4,000 inhabitants, situated 15 miles south of Mount Tabor, through which the road from Jezreel to Samaria and Jerusalem passes. When Ahaziah, king of Judah, attempted to escape from Jehu, he &quot;fled by the way of the garden house&quot; i.e., by way of En-gannim. Here he was overtaken by Jehu and wounded in his chariot, and turned aside and fled to Megiddo, a distance of about 20 miles, to die there.</p>"
"1206","Engedi","<p>Fountain of the kid, place in the wilderness of Judah (Josh. 15:62), on the western shore of the Dead Sea (Ezek. 47:10), and nearly equidistant from both extremities. To the wilderness near this town David fled for fear of Saul (Josh. 15:62; 1 Sam. 23:29). It was at first called Hazezon-tamar (Gen. 14:7), a city of the Amorites.</p><p>The vineyards of Engedi were celebrated in Solomon&#39;s time (Cant. 1:4). It is the modern Ain Jidy. The &quot;fountain&quot; from which it derives its name rises on the mountain side about 600 feet above the sea, and in its rapid descent spreads luxuriance all around it. Along its banks the osher grows abundantly. That shrub is thus described by Porter: &quot;The stem is stout, measuring sometimes nearly a foot in diameter, and the plant grows to the height of 15 feet or more. It has a grayish bark and long oval leaves, which when broken off discharge a milky fluid. The fruit resembles an apple, and hangs in clusters of two or three. When ripe it is of a rich yellow colour, but on being pressed it explodes like a puff-ball. It is chiefly filled with air...This is the so-called apple of Sodom.&#39;&quot; Through Samaria, etc. (See [187]APPLE.)</p>"
"1207","Engines","<p>(1.) Heb. hishalon i.e., &quot;invention&quot; (as in Eccl. 7:29) contrivances indicating ingenuity. In 2 Chr. 26:15 it refers to inventions for the purpose of propelling missiles from the walls of a town, such as stones (the Roman balista) and arrows (the catapulta).</p><p>(2.) Heb. mechi kobollo, i.e., the beating of that which is in front a battering-ram (Ezek. 26:9), the use of which was common among the Egyptians and the Assyrians. Such an engine is mentioned in the reign of David (2 Sam. 20:15).</p>"
"1208","Engraver","<p>Heb. harash (Ex. 35:35; 38:23) means properly an artificer in wood, stone, or metal. The chief business of the engraver was cutting names or devices on rings and seals and signets (Ex. 28:11, 21, 36; Gen. 38:18).</p>"
"1209","Enhakkore","<p>Fountain of the crier, the name of the spring in Lehi which burst forth in answer to Samson&#39;s prayer when he was exhausted with the slaughter of the Philistines (Judg. 15:19). It has been identified with the spring Ayun Kara, near Zoreah.</p>"
"1210","Enmity","<p>Deep-rooted hatred. &quot;I will put enmity between thee and the woman, between thy seed and her seed&quot; (Gen. 3:15). The friendship of the world is &quot;enmity with God&quot; (James 4:4; 1 John 2:15, 16). The &quot;carnal mind&quot; is &quot;enmity against God&quot; (Rom. 8:7). By the abrogation of the Mosaic institutes the &quot;enmity&quot; between Jew and Gentile is removed. They are reconciled, are &quot;made one&quot; (Eph. 2:15, 16).</p>"
"1211","Enoch","<p>Initiated. (1.) The eldest son of Cain (Gen. 4:17), who built a city east of Eden in the land of Nod, and called it &quot;after the name of his son Enoch.&quot; This is the first &quot;city&quot; mentioned in Scripture.</p><p>(2.) The son of Jared, and father of Methuselah (Gen. 5:21; Luke 3:37). His father was one hundred and sixty-two years old when he was born. After the birth of Methuselah, Enoch &quot;walked with God three hundred years&quot; (Gen. 5:22-24), when he was translated without tasting death. His whole life on earth was three hundred and sixty-five years. He was the &quot;seventh from Adam&quot; (Jude 1:14), as distinguished from the son of Cain, the third from Adam. He is spoken of in the catalogue of Old Testament worthies in the Epistle to the Hebrews (11:5). When he was translated, only Adam, so far as recorded, had as yet died a natural death, and Noah was not yet born. Mention is made of Enoch&#39;s prophesying only in Jude 1:14.</p>"
"1212","Enos","<p>Man the son of Seth, and grandson of Adam (Gen. 5:6-11; Luke 3:38). He lived nine hundred and five years. In his time &quot;men began to call upon the name of the Lord&quot; (Gen. 4:26), meaning either (1) then began men to call themselves by the name of the Lord (marg.) i.e., to distinguish themselves thereby from idolaters; or (2) then men in some public and earnest way began to call upon the Lord, indicating a time of spiritual revival.</p>"
