"id","chapter","verse","note"
"1838","1 Kings 8","44","toward the city: Heb. the way of the city
"
"1839","1 Kings 8","45","cause: Or, right
"
"1840","1 Kings 8","47","bethink themselves: Heb. bring back to their heart
"
"1841","1 Kings 8","49","cause: Or, right
"
"1842","1 Kings 8","56","failed: Heb. fallen
"
"1843","1 Kings 8","59","at all times: Heb. the thing of a day in his day
"
"1844","1 Kings 8","66","blessed: Or, thanked
"
"1845","1 Kings 9","12","pleased him not: Heb. were not right in his eyes
"
"1846","1 Kings 9","13","Cabul: that is, displeasing Or, dirty
"
"1847","1 Kings 9","19","that which Solomon desired to build: Heb. the desire of Solomon which he desired
"
"1848","1 Kings 9","25","upon the: Heb. upon it
"
"1849","1 Kings 9","26","shore: Heb. lip
"
"1850","1 Kings 10","3","questions: Heb. words
"
"1851","1 Kings 10","5","attendance: Heb. standing
"
"1852","1 Kings 10","5","cupbearers: Or, Butlers
"
"1853","1 Kings 10","6","report: Heb. word
"
"1854","1 Kings 10","6","acts: Or, sayings
"
"1855","1 Kings 10","7","thy wisdom and prosperity exceedeth the fame: Heb. thou hast added wisdom and goodness to the fame
"
"1856","1 Kings 10","11","almug…: also called, algum trees
"
"1857","1 Kings 10","12","pillars: Or, rails: Heb. a prop
"
"1858","1 Kings 10","13","Solom gave her of his royal bounty: Heb. according to the hand of king Solomon
"
"1859","1 Kings 10","15","governors: Or, captains
"
"1860","1 Kings 10","19","behind: Heb. on the hinder part thereof
"
"1861","1 Kings 10","19","stays: Heb. hands
"
"1862","1 Kings 10","20","the like: Heb. so
"
"1863","1 Kings 10","21","none were of silver: Or, there was no silver in them
"
"1864","1 Kings 10","22","ivory: Or, elephants teeth
"
"1865","1 Kings 10","24","sought to: Heb. sought the face of
"
"1866","1 Kings 10","27","made: Heb. gave
"
"1867","1 Kings 10","28","And Solomon had horses brought out: Heb. And the going forth of the horses which was Solomons
"
"1868","1 Kings 10","29","by their means: Heb. by their hand
"
"1869","1 Kings 11","1","together with: Or, besides
"
"1870","1 Kings 11","6","went not fully after: Heb. fulfilled not after
"
"1871","1 Kings 11","11","is done of thee: Heb. is with thee
"
"1872","1 Kings 11","21","let me depart: Heb. send me away
"
"1873","1 Kings 11","22","Nothing: Heb. Not
"
"1874","1 Kings 11","27","repaired: Heb. closed
"
"1875","1 Kings 11","28","was industrious: Heb. did work
"
"1876","1 Kings 11","28","charge: Heb. burden
"
"1877","1 Kings 11","36","light: Heb. lamp or candle
"
"1878","1 Kings 11","41","acts: Or, words, or things
"
"1879","1 Kings 11","42","time: Heb. days
"
"1880","1 Kings 12","13","roughly: Heb. hardly
"
"1881","1 Kings 12","18","made speed: Heb. strengthened himself
"
"1882","1 Kings 12","19","rebelled: Or, fell away
"
"1883","1 Kings 12","32","offered upon the altar: Or, went up to the altar, etc
"
"1884","1 Kings 12","32","sacrificing: Or, to sacrifice
"
"1885","1 Kings 12","33","offered upon the altar: Or, went up to the altar, etc
"
"1886","1 Kings 12","33","and burnt incense: Heb. to burn incense
"
"1887","1 Kings 13","1","burn: Or, to offer
"
"1888","1 Kings 13","6","the LORD: Heb. the face of the LORD
"
"1889","1 Kings 13","17","it was said: Heb. a word was
"
"1890","1 Kings 13","26","torn: Heb. broken
"
"1891","1 Kings 13","28","torn: Heb. broken
"
"1892","1 Kings 13","33","made again: Heb. returned and made
"
"1893","1 Kings 13","33","consecrated him: Heb. filled his hand
"
"1894","1 Kings 14","3","with: Heb. in thine hand
"
"1895","1 Kings 14","3","cracknels: Or, cakes
"
"1896","1 Kings 14","3","cruse: Or, bottle
"
"1897","1 Kings 14","4","were set by reason of his age: Heb. stood for hoariness
"
"1898","1 Kings 14","6","heavy: Heb. hard
"
"1899","1 Kings 14","20","slept: Heb. lay down
"
"1900","1 Kings 14","23","images: Or, standing images, or statues
"
"1901","1 Kings 14","27","guard: Heb. runners
"
"1902","1 Kings 14","28","torn: Heb. broken
"
"1903","1 Kings 15","4","lamp: Or, candle
"
"1904","1 Kings 15","10","mothers: that is, grandmother
"
"1905","1 Kings 15","13","destroyed: Heb. cut off
"
"1906","1 Kings 15","15","things: Heb. holy
"
"1907","1 Kings 15","19","depart: Heb. go up
"
"1908","1 Kings 15","22","exempted: Heb. free
"
"1909","1 Kings 15","25","began to reign: Heb. reigned
"
"1910","1 Kings 16","9","steward: Heb. which was over
"
"1911","1 Kings 16","11","neither of his kinsfolks, nor of his friends
"
"1912","1 Kings 16","12","by: Heb. by the hand of
"
"1913","1 Kings 16","24","Samaria: Heb. Shomeron
"
"1914","1 Kings 16","31","as if it had been a light thing: Heb. was it a light thing? etc.
"
"1915","1 Kings 17","1","Elijah: Heb. Elijahu. Luke 4.25. he is called Elias
"
"1916","1 Kings 17","7","after a while: Heb. at the end of days
"
"1917","1 Kings 17","14","sendeth: Heb. giveth
"
"1918","1 Kings 17","15","many days: Or, a full year
"
"1919","1 Kings 17","16","by: Heb. by the hand of
"
"1920","1 Kings 17","21","stretched: Heb. measured
"
"1921","1 Kings 17","21","into him again: Heb. into his inward parts
"
"1922","1 Kings 18","3","Obadiah: Heb. Obadiahu
"
"1923","1 Kings 18","3","the governor: Heb. over his house
"
"1924","1 Kings 18","4","Jezebel: Heb. Izebel
"
"1925","1 Kings 18","5","lest not all the beasts: Heb. that we are not cut off ourselves from the beasts
"
"1926","1 Kings 18","21","opinions?: Or, thoughts
"
"1927","1 Kings 18","24","it is well spoken: Heb. the word is good
"
"1928","1 Kings 18","26","hear: Or, answer
"
"1929","1 Kings 18","26","answered: Or, heard
"
"1930","1 Kings 18","26","leapt upon the altar: Or, leaped up and down at the altar
"
"1931","1 Kings 18","27","aloud: Heb. with a great voice
"
"1932","1 Kings 18","27","he is talking: Or, he meditateth
"
"1933","1 Kings 18","27","is pursuing: Heb. hath a pursuit
"
"1934","1 Kings 18","28","the blood gushed out upon them: Heb. poured out blood upon them
"
"1935","1 Kings 18","29","offering: Heb. ascending
"
"1936","1 Kings 18","29","any that regarded: Heb. attention
"
"1937","1 Kings 18","35","ran: Heb. went
"
"1938","1 Kings 18","40","Take: Or, apprehend
"
"1939","1 Kings 18","41","a sound of abundance of rain: Or, a sound of a noise of rain
"
"1940","1 Kings 18","44","Prepare: Heb. tie, or bind
"
"1941","1 Kings 18","46","to the entrance of Jezreel: Heb. till thou come to Jezreel
"
"1942","1 Kings 19","4","for himself: Heb. for his life
"
"1943","1 Kings 19","6","head: Heb. bolster
"
"1944","1 Kings 19","18","I have left: Or, I will leave
"
"1945","1 Kings 19","20","go back again: Heb. go return
"
"1946","1 Kings 20","6","pleasant: Heb. desirable
"
"1947","1 Kings 20","7","I denied him not: Heb. I kept not back from him
"
"1948","1 Kings 20","10","follow me: Heb. are at my feet
"
"1949","1 Kings 20","12","message: Heb. word
"
"1950","1 Kings 20","12","pavillions: Or, Tents
"
"1951","1 Kings 20","12","set yourselves in aray: Or, place the engins, and they placed engins
"
"1952","1 Kings 20","13","came: Heb. approached
"
"1953","1 Kings 20","14","young men: Or, servants
"
"1954","1 Kings 20","14","order: Heb. bind, or, tie
"
"1955","1 Kings 20","25","that thou hast lost: Heb. that was fallen
"
"1956","1 Kings 20","26","to fight against Israel: Heb. to the war with Israel
"
"1957","1 Kings 20","27","were all present: Or, were victualled
"
"1958","1 Kings 20","30","into an inner chamber: Or, from chamber to chamber. Heb. into a chamber within a chamber
"
"1959","1 Kings 20","37","smiting he wounded him: Heb. smiting and wounding
"
"1960","1 Kings 20","39","pay: Heb. weigh
"
"1961","1 Kings 20","40","he was gone: Heb. he was not
"
"1962","1 Kings 21","2","seem good to thee: Heb. be good in thine eyes
"
"1963","1 Kings 21","9","on high among the people: Heb. in the top of the people
"
"1964","1 Kings 21","23","wall: Or, ditch
"
"1965","1 Kings 21","25","stirred up: Or, incited
"
"1966","1 Kings 22","3","still, and take it: Heb. silent from taking it
"
"1967","1 Kings 22","9","officer: Or, eunuch
"
"1968","1 Kings 22","10","void: Heb. floor
"
"1969","1 Kings 22","20","persuade: Or, deceive
"
"1970","1 Kings 22","25","into an inner chamber: Or, from chamber to chamber. Heb. chamber in a chamber
"
"1971","1 Kings 22","30","I will disguise myself, and enter into the battle: Or, when he was to disguise himself and enter into the battle
"
"1972","1 Kings 22","34","at a venture: Heb. in his simplicity
"
"1973","1 Kings 22","34","joints of the harness: Heb. joints and the breastplate
"
"1974","1 Kings 22","34","wounded: Heb. made sick
"
"1975","1 Kings 22","35","increased: Heb. ascended
"
"1976","1 Kings 22","35","midst: Heb. bosom
"
"1977","1 Kings 22","37","was brought: Heb. came
"
"1978","1 Kings 22","48","made ships: Or, had ten ships
"
"1979","2 Kings 1","4","Thou shalt not come down from that bed on which thou art gone up: Heb. the bed, whither thou art gone up, thou shalt not come down from it
"
"1980","2 Kings 1","7","what manner of man was he: Heb. what was the manner of the man?
"
"1981","2 Kings 1","13","fell: Heb. bowed
"
"1982","2 Kings 2","7","to view: Heb. in sight, or, over against
"
"1983","2 Kings 2","10","thou hast asked a hard thing: Heb. thou hast done hard in asking
"
"1984","2 Kings 2","13","bank: Heb. lip
"
"1985","2 Kings 2","16","strong men: Heb. sons of strength
"
"1986","2 Kings 2","16","some mountain: Heb. one of the mountains
"
"1987","2 Kings 2","19","barren: Heb. causing to miscarry
"
"1988","2 Kings 3","2","image: Heb. statue
"
"1989","2 Kings 3","9","that followed them
"
"1990","2 Kings 3","19","marr: Heb. grieve
"
"1991","2 Kings 3","21","gathered: Heb. were cried together
"
"1992","2 Kings 3","21","put on armour: Heb. gird himself with a girdle
"
"1993","2 Kings 3","23","slain: Heb. destroyed
"
"1994","2 Kings 3","24","they went forward smiting: Or, they smote in it, even smiting
"
"1995","2 Kings 3","25","only in Kirharaseth left they the stones thereof: Heb. until he left the stones thereof in Kirharaseth
"
"1996","2 Kings 4","3","borrow not: Or, scant not
"
"1997","2 Kings 4","7","debt: Or, creditor
"
"1998","2 Kings 4","8","it fell on a day: Heb. there was a day
"
"1999","2 Kings 4","8","constrained: Heb. laid hold on him
"
"2000","2 Kings 4","16","season: Heb. set time
"
"2001","2 Kings 4","23","well: Heb. peace
"
"2002","2 Kings 4","24","slack not thy riding: Heb. restrain not for me to ride
"
"2003","2 Kings 4","27","by the feet: Heb. by his feet
"
"2004","2 Kings 4","27","vexed: Heb. bitter
"
"2005","2 Kings 4","31","hearing: Heb. attention
"
"2006","2 Kings 4","35","to and fro: Heb. once hither, and once thither
"
"2007","2 Kings 4","41","harm: Heb. evil thing
"
"2008","2 Kings 4","42","in the husk: Or, in his scrip, or garment
"
"2009","2 Kings 5","1","with: Heb. before
"
"2010","2 Kings 5","1","honorable: Or, gracious. Heb. lifted up, or accepted in contenance
"
"2011","2 Kings 5","1","deliverance: Or, victory
"
"2012","2 Kings 5","2","waited: Heb. was before
"
"2013","2 Kings 5","3","with: Heb. before
"
"2014","2 Kings 5","3","recover: gather in
"
"2015","2 Kings 5","5","with him: Heb. in his hand
"
"2016","2 Kings 5","11","I thought, He will surely come out to me: Heb. said. Or, I said with myself, He will surely come out etc.
"
"2017","2 Kings 5","11","and strike: Heb. move up and down
"
"2018","2 Kings 5","12","Abana: Or, Amana
"
"2019","2 Kings 5","19","a little way: Heb. a little piece of ground
"
"2020","2 Kings 5","21","Is all well?: Heb. Is there peace?
"
"2021","2 Kings 5","24","tower: Or, secret place
"
"2022","2 Kings 5","25","no whither: Heb. not hither or thither
"
"2023","2 Kings 6","5","axe head: Heb. iron
"
"2024","2 Kings 6","8","camp: Or, encamping
"
"2025","2 Kings 6","12","None: Heb. No
"
"2026","2 Kings 6","14","great: Heb. heavy
"
"2027","2 Kings 6","15","servant: Or, minister
"
"2028","2 Kings 6","19","follow me: Heb. come ye after me
"
"2029","2 Kings 6","27","if the LORD do not help thee: Or, Let not the Lord save thee
"
"2030","2 Kings 6","29","next: Heb. other
"
"2031","2 Kings 7","2","a lord on whose hand the king leaned: Heb. a Lord which belonged to the King, leaning upon his hand
"
"2032","2 Kings 7","9","some mischief will come upon us: Heb. we shall find punishment
"
"2033","2 Kings 7","13","in the city: Heb. in it
"
"2034","2 Kings 8","6","officer: Or, Eunuch
"
"2035","2 Kings 8","9","with him: Heb. in his hand
"
"2036","2 Kings 8","11","steadfastly: Heb. and set it
"
"2037","2 Kings 8","16","began to reign: Heb. reigned
"
"2038","2 Kings 8","19","light: Heb. candle, or lamp
"
"2039","2 Kings 8","29","wounds which the Syrians: Heb. wherewith the Syrians had wounded
"
"2040","2 Kings 8","29","had given: Heb. wounded
"
"2041","2 Kings 9","2","inner chamber: Heb. chamber in a chamber
"
"2042","2 Kings 9","13","is king: Heb. reigneth
"
"2043","2 Kings 9","15","Joram: Heb. Jehoram
"
"2044","2 Kings 9","15","given: Heb. smote
"
"2045","2 Kings 9","15","let none go forth nor escape: Heb. let no escaper go, etc.
"
"2046","2 Kings 9","20","driving: Or, marching
"
"2047","2 Kings 9","20","furiously: Heb. in madness
"
"2048","2 Kings 9","21","Make ready: Heb. bind
"
"2049","2 Kings 9","21","met him: Heb. found
"
"2050","2 Kings 9","24","drew a bow: Heb. filled his hand with a bow
"
"2051","2 Kings 9","24","sunk: Heb. bowed
"
"2052","2 Kings 9","26","blood: Heb. bloods
"
"2053","2 Kings 9","26","plat: Or, portion
"
"2054","2 Kings 9","30","painted her face: Heb. put her eyes in painting
"
"2055","2 Kings 9","32","eunuchs: Or, chamberlains
"
"2056","2 Kings 9","36","by his: Heb. by the hand of
"
"2057","2 Kings 10","1","them that brought up: Heb. nourishers
"
"2058","2 Kings 10","6","mine: Heb. for me
"
"2059","2 Kings 10","10","by: Heb. by the hand of
"
"2060","2 Kings 10","11","kinfolks: Or, acquaintance
"
"2061","2 Kings 10","12","shearing house: Heb. house of shepherds binding sheep
"
"2062","2 Kings 10","13","met: Heb. found
"
"2063","2 Kings 10","13","to salute: Heb. to the peace of etc.
"
"2064","2 Kings 10","15","lighted: Heb. found
"
"2065","2 Kings 10","15","saluted: Heb. blessed
"
"2066","2 Kings 10","20","Proclaim: Heb. Sanctify
"
"2067","2 Kings 10","21","full from one end to another: Or, so full, that they stood mouth to mouth
"
"2068","2 Kings 10","25","edge: Heb. the mouth
"
"2069","2 Kings 10","26","Images: Heb. statues
"
"2070","2 Kings 10","31","took no heed: Heb. observed not
"
"2071","2 Kings 10","32","to cut: Heb. to cut off the ends
"
"2072","2 Kings 10","33","eastward: Heb. toward the rising of the sun
"
"2073","2 Kings 10","33","even Gilead and Bashan: Or, even to Gilead and Bashan
"
"2074","2 Kings 10","36","the time: Heb. the days were
"
"2075","2 Kings 11","1","seed royal: Heb. seed of the kingdom
"
"2076","2 Kings 11","2","Jehosheba: also called, Jehoshabeath
"
"2077","2 Kings 11","6","that it be not broken down: Or, from breaking up
"
"2078","2 Kings 11","7","parts of all you: Or, companies: Heb. hands
"
"2079","2 Kings 11","11","corner: Heb. shoulder
"
"2080","2 Kings 11","12","God save the King: Heb. let the king live
"
"2081","2 Kings 11","18","officers: Heb. offices
"
"2082","2 Kings 12","4","dedicated things: Or, holy things: Heb. holinesses
"
"2083","2 Kings 12","4","the money that every man is set at: Heb. the money of the souls of his estimation
"
"2084","2 Kings 12","4","cometh into any mans heart: Heb. ascendeth upon the heart of a man
"
"2085","2 Kings 12","6","in the three and twentieth year: Heb. in the twentieth year, and third year
"
"2086","2 Kings 12","9","door: Heb. threshold
"
"2087","2 Kings 12","10","scribe: Or, secretary
"
"2088","2 Kings 12","10","put in: Heb. bound up
"
"2089","2 Kings 12","11","laid it out: Heb. brought it forth
"
"2090","2 Kings 12","12","was laid out: Heb. went forth
"
"2091","2 Kings 12","18","went away: Heb. went up
"
"2092","2 Kings 12","20","the house of Millo: Or, Bethmillo
"
"2093","2 Kings 13","1","the three and twentieth year: Heb. in the twentieth year and third year
"
"2094","2 Kings 13","2","followed: Heb. walked after
"
"2095","2 Kings 13","5","as beforetime: Heb. as yesterday, and third day
"
"2096","2 Kings 13","6","walked: Heb. he walked
"
"2097","2 Kings 13","6","remained: Heb. stood
"
"2098","2 Kings 13","16","put thine hand upon: Heb. make thine hand to ride
"
"2099","2 Kings 13","21","was let down: Heb. went down
"
"2100","2 Kings 13","23","presence: Heb. face
"
"2101","2 Kings 13","25","took again: Heb. returned and took
"
"2102","2 Kings 14","7","Selah: Or, the rock
"
"2103","2 Kings 14","10","at home: Heb. at thy house
"
"2104","2 Kings 14","10","was put to the worse: Heb. was smitten
"
"2105","2 Kings 15","13","a full month: Heb. a month of days
"
"2106","2 Kings 15","20","exacted: Heb. caused to come forth
"
"2107","2 Kings 16","10","Damascus: Heb. Dammesek
"
"2108","2 Kings 16","13","his: Heb. which were his
"
"2109","2 Kings 17","3","gave: Heb. rendered
"
"2110","2 Kings 17","3","presents: Or, tribute
"
"2111","2 Kings 17","10","images: Heb. statues
"
"2112","2 Kings 17","13","by all the: Heb. by the hand of all
"
"2113","2 Kings 17","33","whom they carried away from thence: Or, who carried them ways from thence
"
"2114","2 Kings 18","4","images: Heb. statues
"
"2115","2 Kings 18","6","from following him: Heb. from after him
"
"2116","2 Kings 18","8","Gaza: Heb. Azzah.! 
"
"2117","2 Kings 18","13","Sennacherib: Heb. Sanherib
"
"2118","2 Kings 18","16","it to the: Heb. them
"
"2119","2 Kings 18","17","great: Heb. heavy
"
"2120","2 Kings 18","18","scribe: Or, secretary
"
"2121","2 Kings 18","20","sayest: Or, talkest
"
"2122","2 Kings 18","20","vain words: Heb. word of the lips
"
"2123","2 Kings 18","20","I have counsel and strength for the war: Or, but counsel and strength are for the war
"
"2124","2 Kings 18","21","trustest upon: Heb. trustest thee
"
"2125","2 Kings 18","23","pledges: Or, hostages
"
"2126","2 Kings 18","27","own piss with you?: Heb. the water of their feet?
"
"2127","2 Kings 18","31","Make an agreement: Or, seek my favour. Heb. make with me a blessing
"
"2128","2 Kings 18","31","cistern: Or, pit
"
"2129","2 Kings 18","32","persuadeth: Or, deceiveth
"
"2130","2 Kings 19","3","blasphemy: Or, provocation
"
"2131","2 Kings 19","4","left: Heb. found
"
"2132","2 Kings 19","18","cast: Heb. given
"
"2133","2 Kings 19","23","By: Heb. by the hand of
"
"2134","2 Kings 19","23","the tall: Heb. the tallness, etc.
"
"2135","2 Kings 19","23","the forest of his Carmel: Or, the forest and his fruitful field
"
"2136","2 Kings 19","24","beseiged: Or, fenced
"
"2137","2 Kings 19","25","Hast thou not heard long ago how I have done it, and of ancient times that I have formed it? now have I brought it to pass, that thou shouldest be to lay waste fenced cities into ruinous heaps: Or, Hast thou not heard how I have made it long ago, and formed it of ancient times? Should I now bring it to be laid waist, and fenced cities to be ruinous heaps?
"
"2138","2 Kings 19","26","of small power: Heb. short of hand
"
"2139","2 Kings 19","27","abode: Or, sitting
"
"2140","2 Kings 19","30","the remnant that is escaped of the house of Judah: Heb. the escaping of the house of Judah that remaineth
"
"2141","2 Kings 19","31","they that escape: Heb. the escaping
"
"2142","2 Kings 19","37","Armenia: Heb. Ararat
"
"2143","2 Kings 20","1","set thine house in order: Heb. give charge concerning thine house
"
"2144","2 Kings 20","3","sore: Heb. with a great weeping
"
"2145","2 Kings 20","4","court: Or, city
"
"2146","2 Kings 20","11","dial: Heb. degrees
"
"2147","2 Kings 20","13","precious things: Or, spicery
"
"2148","2 Kings 20","13","armour: Or, jewels. Heb. vessells
"
"2149","2 Kings 20","19","is it not good if peace and truth be in my days? Or, shall there not be peace and truth? etc.
"
"2150","2 Kings 21","13","wiping it and turning it upside down: Heb. he wipeth and turneth it upon the face thereof
"
"2151","2 Kings 21","16","from one end to another: Heb. from mouth to mouth
"
"2152","2 Kings 22","4","door: Heb. threshold
"
"2153","2 Kings 22","9","gathered: Heb. melted
"
"2154","2 Kings 22","14","wardrobe: Heb. garments
"
"2155","2 Kings 22","14","in the college: Or, in the second part
"
"2156","2 Kings 23","2","both small and great: Heb. from small even unto great
"
"2157","2 Kings 23","5","put down: Heb. caused to cease. Heb. chemarim
"
"2158","2 Kings 23","5","Planets: Or, twelve signs or constellations
"
"2159","2 Kings 23","7","hangings: Heb. houses
"
"2160","2 Kings 23","11","chamberlain: Or, Eunuch, or Officer
"
"2161","2 Kings 23","12","brake them down from thence: Or, ran from thence
"
"2162","2 Kings 23","13","the mount of corruption: that is, the mount of Olives
"
"2163","2 Kings 23","14","images: Heb. statues
"
"2164","2 Kings 23","18","alone: Heb. to escape
"
"2165","2 Kings 23","20","slew: Or, sacrificed
"
"2166","2 Kings 23","24","images: Or, teraphim
"
"2167","2 Kings 23","26","provocations: Heb. angers
"
"2168","2 Kings 23","33","that he might not reign: Or, because he reigned
"
"2169","2 Kings 23","33","put the land to a tribute: Heb. set a mulct upon the land
"
"2170","2 Kings 24","2","by his: Heb. by the hand of
"
"2171","2 Kings 24","10","was beseiged: Heb. came into seige
"
"2172","2 Kings 24","12","officers: Or, Eunuchs
"
"2173","2 Kings 24","15","officers: Or, Eunuchs
"
"2174","2 Kings 25","6","gave judgment upon him: Heb. spake judgment with him
"
"2175","2 Kings 25","7","put out the eyes: Heb. made blind
"
"2176","2 Kings 25","8","captain of the guard: Or, chief marshal
"
"2177","2 Kings 25","11","fugitives: Heb. fallen away
"
"2178","2 Kings 25","16","one sea: Heb. the one sea
"
"2179","2 Kings 25","18","door: Heb. threshold
"
"2180","2 Kings 25","19","Officer: Or, Eunuch
"
"2181","2 Kings 25","19","were in the kings presence: Heb. saw the kings face
"
"2182","2 Kings 25","19","principle Scribe of the host: Or, scribes of the captain of the host
"
"2183","2 Kings 25","25","the seed royal: Heb. of the kingdom
"
"2184","2 Kings 25","28","kindly to him: Heb. good things with him
"
"2185","1 Chronicles 1","6","Riphath: Or, Diphath, as it is in some copies
"
"2186","1 Chronicles 1","7","Dodanim: Or, Rodanim, according to some copies
"
"2187","1 Chronicles 1","17","Meshech: Or, Mash. gen. 10.23 
"
"2188","1 Chronicles 1","19","Peleg: that is, division
"
"2189","1 Chronicles 1","30","Hadad: Or, Hadar, Gen. 25.14
"
"2190","1 Chronicles 1","36","Zephi: Or, Zepho, Gen. 36.12
"
"2191","1 Chronicles 1","39","Homam: Or, Heman, Gen. 36.22
"
"2192","1 Chronicles 1","40","Alian: Or, Alvan, Gen. 36.23
"
"2193","1 Chronicles 1","40","Shephi: Or, Sepho, Gen. 36.23
"
"2194","1 Chronicles 1","41","Amram: Or, Hemdan, Gen. 36.26
"
"2195","1 Chronicles 1","42","Jakan: or Akan, Gen. 36.27
"
"2196","1 Chronicles 1","50","Hadad: Or, Hadar, Gen. 36.39
"
"2197","1 Chronicles 1","50","Pai: Or, Pau, Gen. 36.39
"
"2198","1 Chronicles 2","1","Israel: Or, Jacob
"
"2199","1 Chronicles 2","6","Zimri: Or, Zabdi, Josh. 7.1
"
"2200","1 Chronicles 2","6","Dara: Or, Darda
"
"2201","1 Chronicles 2","7","Achar: Or, Achan
"
"2202","1 Chronicles 2","9","Ram: Or, Aram. Mat. 1.3
"
"2203","1 Chronicles 2","9","Chelubai: Or, Caleb. Ver. 18
"
"2204","1 Chronicles 2","13","Shimma: Or, Shamma, 1 Sam. 16.9
"
"2205","1 Chronicles 2","21","married: Heb. took
"
"2206","1 Chronicles 2","52","Haroeh: Or, Reaiah, chap. 4.2
"
"2207","1 Chronicles 2","52","half of the Manahethites: Or, half of the Manahethites, Or Hatsihammenuchoth
"
"2208","1 Chronicles 2","54","Ataroth, the house of Joab: Or, Atarites, or, crowns of the house of Joab
"
"2209","1 Chronicles 3","1","Daniel: Or, Chileab, 2. sam. 3.3
"
"2210","1 Chronicles 3","5","Shimea: Or, Shammua, 2. Sam. 5.14
"
"2211","1 Chronicles 3","5","Bathshua: Or, Bethsabe, 2. Sam. 11.13
"
"2212","1 Chronicles 3","5","Ammieal: Or, Eliam, 2. Sam. 11.3
"
"2213","1 Chronicles 3","6","Elishama: Or, Elishua 2. Sam. 5.15
"
"2214","1 Chronicles 3","8","Eliada: Or, Beliada, 1. Chro. 14.7
"
"2215","1 Chronicles 3","10","Abia: Or, Abiam, 1. king. 15.1
"
"2216","1 Chronicles 3","11","Ahaziah: Or, Azariah, 2. chr. 22.6 &amp; 21.17
"
"2217","1 Chronicles 3","12","Azariah: Or, Uzziah 2. king. 15.30
"
"2218","1 Chronicles 3","15","Johanan: Or, Joachaz, 2. king. 23.30
"
"2219","1 Chronicles 3","15","Joakim: Or, Eliakim, 2. king. 23.34
"
"2220","1 Chronicles 3","15","Zedekiah: Or, Mathania, 2. king. 24.17
"
"2221","1 Chronicles 3","16","Jeconiah: Or, Jehoiachin, 2. king. 24.6
"
"2222","1 Chronicles 3","17","Jeconiah: Or, Coniah, jer. 22.34
"
"2223","1 Chronicles 3","17","Salathiel: Heb. Shealtiel
"
"2224","1 Chronicles 3","17","his son: 2. King. 24.17. being his uncle
"
"2225","1 Chronicles 3","23","Hezekiah: Heb. Hiskijah
"
"2226","1 Chronicles 4","1","Carmi: Or, Chelubai, Chap. 2.9. or Caleb, Chap. 2.18
"
"2227","1 Chronicles 4","2","Reaiah: Or, Haroe
"
"2228","1 Chronicles 4","9","Jabez: that is, sorrowful
"
"2229","1 Chronicles 4","10","Oh that thow wouldest: Heb. if thou wilt, etc.
"
"2230","1 Chronicles 4","10","keep me: Heb. do me
"
"2231","1 Chronicles 4","12","Irnahash: Or, the city of Nahash
"
"2232","1 Chronicles 4","13","Hathath and Meonothai: Or, Hathath, and Meonothai, who begat, etc.
"
"2233","1 Chronicles 4","14","valley: Or, inhabitants of the valley
"
"2234","1 Chronicles 4","14","Charasim: That is, craftsmen
"
"2235","1 Chronicles 4","15","even Kenaz: Or, Uknaz
"
"2236","1 Chronicles 4","18","Jehudijah: Or, the Jewess
"
"2237","1 Chronicles 4","19","Hodiah: Or, Jehudijah, mentioned before
"
"2238","1 Chronicles 4","24","Nemuel: Or, Jemuel
"
"2239","1 Chronicles 4","27","like: Heb. unto
"
"2240","1 Chronicles 4","29","Bilhah: Or, Bela
"
"2241","1 Chronicles 4","29","Tolad: Or, Eltolad
"
"2242","1 Chronicles 4","31","Hazarsusim: Or, Hazarsusah
"
"2243","1 Chronicles 4","32","Etam: Or, Ether
"
"2244","1 Chronicles 4","33","Baal: Or, Baalathbeer
"
"2245","1 Chronicles 4","33","genealogy: Or, as they divided themselves by nations among them
"
"2246","1 Chronicles 4","38","mentioned: Heb. coming
"
"2247","1 Chronicles 5","2","rulers: Or, Prince
"
"2248","1 Chronicles 5","6","Tilgathpilneser: Or, Tiglathpilneser
"
"2249","1 Chronicles 5","8","Shema: Or, Shemaiah
"
"2250","1 Chronicles 5","10","throughout all the East land: Heb. upon all the face of the East
"
"2251","1 Chronicles 5","16","their borders: Heb. their goings forth
"
"2252","1 Chronicles 5","18","valient men: Heb. sons of valour
"
"2253","1 Chronicles 5","21","took away: Heb. led captive
"
"2254","1 Chronicles 5","21","men: Heb. souls of men
"
"2255","1 Chronicles 5","24","famous men: Heb. men of names
"
"2256","1 Chronicles 6","1","Gershon: Or, Gershom
"
"2257","1 Chronicles 6","10","in the temple: Heb. in the house
"
"2258","1 Chronicles 6","12","Shallum: Or, Meshullam
"
"2259","1 Chronicles 6","16","Gershom: Or, Gershon
"
"2260","1 Chronicles 6","21","Joah: Or, Ethan
"
"2261","1 Chronicles 6","21","Iddo: Or, Adaia
"
"2262","1 Chronicles 6","22","Amminadab: Or, Izhar
"
"2263","1 Chronicles 6","26","Zophai: Or, Zuph
"
"2264","1 Chronicles 6","28","Vashni: called also Joel
"
"2265","1 Chronicles 6","33","waited: Heb. stood
"
"2266","1 Chronicles 6","44","Kishi: Or, Kushaiah
"
"2267","1 Chronicles 6","58","Hilen: or Holon
"
"2268","1 Chronicles 6","59","Ashan: or Ain
"
"2269","1 Chronicles 6","60","Alemeth: or Almon
"
